Seus tênis parecem sujos;Your sneakers look dirty
Eles andaram na lambreta até a praia;They rode the scooter to the beach
O rato queria andar em uma lambreta;The mouse wanted to ride a scooter
Eu posso pegar emprestado um par de tênis?;Can I borrow a pair of sneakers?
Bem, o rato se esqueceu de colocar xampu na mala;Well, the mouse forgot to pack shampoo
Qual leão voou no helicóptero?;Which lion flew in the helicopter?
O clima estava agradável em Marrocos;The weather was nice in Morocco
Um dos leões sempre usa tênis laranja;One of the lions always wears orange sneakers
Um dos leões colocou muito xampu na mala dele;One of the lions put a lot of shampoo in its suitcase
Eles deixaram o Marrocos e voaram para a Argentina;They left Morocco and flew to Argentina
O rato queria voar no helicóptero também;The mouse wanted to fly in the helicopter as well
Eles andaram na lambreta até a praia;They rode the scooter to the beach
O rato não tem nenhum tênis vermelho;The mouse doesn't have any red sneakers
Eles ficaram no Marrocos por alguns dias;they stayed in Marocco for a few days
Aqui está um pouco de xampu;Here's some shampoo
O rato conheceu dois leões amigáveis no Marrocos;The mouse met two friendly lions in Morocco
