o homem;the man
a mulher;the woman
eu sou;I am
o menino;the boy
a menina;the girl
ele;he
ela;she
você;you
a maçã;the apple
o pão;the bread
eu como;I eat
a água;the water
o leite;the milk
eu bebo;I drink
ele bebe;he drinks
nós;we
nós somos;we are
os homens;the men
as mulheres;the women
nós bebemos;we drink
bebem;drink
a cerveja;the beer
os meninos;the boys
as meninas;the girls
eles leem;they read
o livro;the book
nós lemos;we read
e;and
a carta;the letter
eu escrevo;I write
ela escreve;she writes
eles gostam;they like
com;with
nós falamos;we speak
nós escrevemos;we write
eles escrevem;they write
ela lê;she reads
o jornal;the newspaper
eu leio;I read
o abacaxi;the pineapple
bom;good
eu gosto;I like
ela gosta;she likes
oi;hi
tchau;bye
obrigado;thank you
sim;yes
não;no
o favor;the favor
o dia;the day
a tarde;the afternoon
a noite;the night
conhecer;to know
nada;nothing
parabéns;congratulations
olá;hello
desculpe;sorry
português;Portuguese
inglês;English
falo;I speak
she speaks;ela fala
nós comemos;we eat
eles comem;they eat
eu cozinho;I cook
o molho;the sauce
a banana;the banana
amargo;bitter
ferver;to boil
a garrafa;the bottle
o almoço;thelunch
a manteiga;the butter
o bolo;the cake
a lata;the can
a cenoura;the carrot
o queijo;the cheese
eu tenho;I have
ela tem;she has
o frango;the chicken
o chocolate;the chocolate
o café;the coffee
o biscoito;the cookie
a xícara;the cup
ela corta;she cuts
o regime;the diet
o jantar;the dinner
a bebida;the drink
o ovo;the egg
o peixe;the fish
o garfo;the fork
frito;fried
a fruta;the fruit
o copo;the cup
a uva;the grape
a fome;the hunger
o suco;the juice
as maçãs;the apples
os livros;the books
as chaves;the keys
as cartas;the letters
as palavras;the words
os abacaxis;the pineapples
eles são bons;they are good
as moscas;the flies
os insetos;the insects
os vinhos;the wines
as bananas;the bananas
as batatas;the potatoes
o gato;the cat
o cavalo;the horse
o pássaro;the bird
o animal;the animal
os animais;the animals
a formiga;the ant
a abelha;the bee
os pássaros;the birds
a borboleta;the butterfly
a vaca;the cow
o cachorro;the dog
os gatos;the cats
o pato;the duck
o elefante;the elephant
a mosca;the fly
os cavalos;the horses
o inseto;the insect
o macaco;the monkey
o tubarão;the shark
a cobra;the snake
a aranha;the spider
o tigre;the tiger
a tartaruga;the turtle
o lobo;the Wolf
a fazenda;the farm
o leão;the lion
o rato;the mouse
a cozinha;the kitchen
a faca;the knife
a limonada;the lemonade
o limão;the lemon
a comida;the food
a refeição;the meal
a carne;the meat
a cebola;the onion
a laranja;the orange
a massa;the pasta
a pimenta;the pepper
o prato;the plate
o porco;the pig
a batata;the potato
a receita;the recipe
a arroz;the rice
a salada;the Salad
o sal;the salt
o sanduíche;the sandwich
o lanche;the snack
a sopa;the soup
azedo;sour
a colher;the spoon
o bife;the steak
o morango;the strawberry
o açúcar;the sugar
o gosto;the taste
o chá;the tea
o tomate;the tomato
o vegetal;the vegetable
o vinho;the wine
o alimento;the food
o azeite;the olive oil
o menu;the menu
vegetariano;vegetarian
ter;to have
meu computador;my computer
minha maçã;my apple
teu carro;your car
teus gatos;your cats
suas batatas;her potatoes
nossa casa;our house
nossos cachorros;our dogs
nossas filhas;our daughters
seus livros;their books
meus chocolates;my chocolates
tua mãe;your mother
minhas caixas;my boxes
tuas chaves;your keys
sua voz;her voice
nosso país;our country
seu chuveiro;her shower
o chapéu;the hat
o sapato;the shoe
a saia;the skirt
o vestido;the dress
a camisa;the shirt
as roupas;the clothes
a bolsa;the bag
o cinto;the belt
a blusa;the blouse
a bota;the boot
a capa;the cape
a fantasia;the costume
vestir;to dress
a luva;the glove
o casaco;the coat
os jeans;the jeans
as calças;the pants
o bolso;the pocket
a sandália;the sandal
o traje;the outfit
o agasalho;the warm clothing
a carteira;the wallet
o relógio;the watch
a meia;the sock
qual;which
quanto;how much
a resposta;the answer
a pergunta;the question
quando;when
onde;where
quem;who
branco;white
vermelho;red
azul;blue
amarelo;yellow
verde;green
a cor;the color
preto;black
colorido;colorful
colorir;to color
rosa;pink
roxo;purple
ver;to see
comer;to eat
beber;to drink
tocar;to touch
ouvir;to hear
achar;to find
acontecer;to happen
errar;to err
lembrar;to remember
conversar;to talk
ir;to go
fazer;to do
tomar;to drink
saber;to know
dizer;to say
querer;to want
ficar;to stay
dar;to give
vir;to come
aceitar;to accept
falar;to speak
deixar;to let
precisar;to need
pensar;to think
esperar;to wait
passar;to pass
gostar;to like
sentir;to feel
chegar;to arrive
voltar;to return
encontrar;to meet
tentar;to try
parar;to stop
olhar;to look
entender;to understand
ajudar;to help
pegar;to take
usar;to use
trabalhar;to work
perder;to lose
caminhar;to stroll
andar;to walk
abrir;to open
trazer;to bring
desculpar;to forgive
seguir;to follow
colocar;to put
amar;to love
mudar;to change
esquecer;to forget
mostrar;to show
ganhar;to win
manter;to keep
pagar;to pay
perguntar;to ask
jogar;to play
dormir;to sleep
escrever;to write
ler;to read
partir;to leave
correr;to run
comprar;to buy
terminar;to end
cair;to fall
vender;to sell
decidir;to decide
medir;to measure
o que?;what?
porque;because
mas;but
se;if
ou;or
do homem;the man's
da mulher;the woman's
ao médico;to the doctor
à filha;to the daughter
dos jornais;the newspapers'
das mães;the mothers'
apesar;although
nos sofás;on the couches
nas cadeiras;on the chairs
é dela;it is hers
daqui;from here
é dele;it is his
desta cidade;from this city
neste hotel;in this hotel
deste bairro;from this neighborhood
nesta cozinha;in this kitchen
escrevi nele;I wrote on it
naquela sala;in that room
naquele ônibus;in that bus
eu falei daquilo;I spoke about that
daquela música;of that song
pensei naquilo;I thought about that
àquele lugar;to that place
daquele jeito;in that manner
daquelas saias;from those skirts
àquela mulher;to that woman
daqueles homens;of those men
nela;on her
escreva nisto;write on this
nestas mesas;on these tables
destas nuvens;of these clouds
naquelas cadeiras;on those chairs
entre os dois;between the two
durante;during
no Brasil;in Brazil
na Inglaterra;in England
em três minutos;in three minutes
sobre;about
desde;since
até;until
para você;for you
sem ele;without him
ontem;yesterday
hoje;today
amanhã;tomorrow
o calendário;the calendar
a segunda-feira;the Monday
a terça-feira;the Tuesday
a quarta-feira;the Wednesday
a quinta-feira;the Thursday
a sexta-feira;the Friday
o sábado;the Saturday
o domingo;the Sunday
o ano;the year
a temporada;the season
o prazo;the deadline
a semana;the week
