O trânsito estava terrível!;The traffic was terrible!
Você quer torrada em vez de cereal?;Do you want toast instead of cereal?
Se ela tiver bagagem extra, ela tem de pagar cinquenta dólares;If she has extra luggage, she has to pay fifty dollars
Vamos trazer uma garrafa de água extra;Let's bring an extra bottle of water
A viagem foi terrível;The trip was terrible
Se não houver chá, eu tomarei café em vez disso;If there's no tea, I'll have coffee instead
Você trouxe o mapa?;Did you bring the map?
Eu deixei minha carteira no táxi;I left my wallet in the taxi!
A comida no avião estava terrível;The food on the plane was terrible
Aqui está um cobertor extra;Here's an extra blanket
Você viu minha bagagem?;Have you seen my luggage
Se ela tiver bagagem extra, ela tem de pagar cinquenta dólares;If she has extra luggage, she has to pay fifty dollars
Era quase meia-noite quando elas chegaram;It was nearly midnight when they ariived
Ele quase perdeu o trem esta manhã;He nearly missed the train this morning
Eu quase cometi um erro terrível;I nearly made a terrible mistake
Nós perdemos nosso voo, então nós tivemos que dirigir em vez disso;We missed our flight, so we had to drive instead
Meu namorado deixou a carteira dele no aeroporto;My boyfriend left his wallet at the airport
Onde ele deixou a carteira dele?;Where did he leave his wallet?
Eu não trouxe minha câmera;I didn't bring my camera








